"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"839",60140.6,260,53313.9,260,47025.3,252
"840",58958.7,260,57707.3,264,48371,256
"841",55043.4,264,56852.5,260,50279.4,252
"842",61253.7,260,56149.7,264,51558.9,256
"843",61406.1,256,51499,260,46883.2,252
"844",61713.6,260,60868.1,256,57693.6,248
"845",55515.1,256,62293.5,260,56058,252
"846",54916.9,260,54425.8,264,47132.3,256
"847",52191.7,256,63392.8,260,59667.5,252
"848",65277.8,256,62037.8,264,55514.4,256
"849",57580.1,260,59425.5,260,50792.6,252
"850",62684.9,252,59264.4,264,55708,256
"851",61378.1,260,59235,260,51647.6,252
"852",62582.5,260,59287,256,51077.7,248
"853",54723,260,60180.3,252,51853.6,244
"854",56455.3,260,59630.4,256,48835.9,248
"855",63770.1,260,65280.4,264,60147.9,256
"856",66011.7,264,56635.4,264,50005.9,256
"857",59236.3,264,62626.8,264,55593.6,256
"858",64520.7,260,59737.5,260,52006.6,252
"859",61515.5,256,63170.7,260,57765.2,252
"860",62147.8,264,51885.1,260,46105.6,252
"861",54395.5,264,57669.5,260,50760.2,252
"862",57112.1,264,61479.2,264,57132.5,256
"863",48467.9,260,63707,260,52993.5,252
"864",55685.6,260,61519,256,56955.1,248
"865",64019.7,260,61209.9,260,56236.1,252
"866",59552.8,256,50767,256,45294.1,248
"867",53461.9,256,55770.2,256,46382.1,248
"868",56771.7,260,59519.2,256,54643.7,248
"869",59436.3,260,60285.6,256,53090.6,248
"870",68110.1,264,56813.5,264,47393.8,256
"871",69702.2,260,55994.1,264,49494.4,256
"872",65095.1,256,61215.9,264,52198.1,256
"873",63343.1,264,56584.6,264,50276.4,256
"874",62097.3,252,52286.2,260,47376.1,252
"875",57991.3,260,65276.5,260,61140.6,252
"876",56673.5,264,61297.7,260,55434.2,252
"877",55469.6,256,65488.3,260,58078.8,252
"878",58600.1,260,57563.6,260,50264.4,252
"879",63003,256,62199.3,260,55829.3,252
"880",63369.6,248,59676,260,52866.9,252
"881",65484.1,260,63073.6,260,54294.2,252
"882",46518.6,256,61692.2,260,52388.8,252
"883",58465.6,264,58826.2,264,50317.3,256
"884",48762.9,256,55081.4,264,47888.7,256
"885",59319.5,252,62742.1,264,55564.7,256
"886",66151.4,260,54859.1,260,50174.7,252
"887",48298.1,260,60976,264,55608.6,256
"888",65382.4,260,56483.5,252,52245.1,244
"889",56919.1,260,60433.8,260,55592.1,252
"890",62860.3,264,63654.3,256,61047.1,248
"891",55990.6,252,55287.9,264,48215,256
"892",52764.1,260,61284.1,260,50837.1,252
"893",57635.6,252,54642.4,260,45258.5,252
"894",62015.9,256,63652.8,260,57712.1,252
"895",56820.1,260,61401.8,260,53397.5,252
"896",57393.5,260,61399.2,260,58421.3,252
"897",56620,260,54973,256,46885,248
"898",57609.9,264,55174.2,260,48651,252
"899",59957.1,264,59353.6,260,53255.1,252
"900",50363.8,256,56514.3,256,51522.6,248
"901",56644.2,264,59472.3,260,55621.9,252
"902",62824.3,260,63960.1,264,58640.9,256
"903",66192.1,256,64594.9,252,56786.8,244
"904",61952.6,260,52686.4,260,44291.2,252
"905",53675.4,260,58672.7,260,50508.3,252
"906",67235.2,252,60987.6,264,57642,256
"907",66716.4,260,64318.3,256,56072.4,248
"908",59363.5,260,53470.2,264,47122,256
"909",65889.1,260,54462.8,260,43485.9,252
"910",60847.1,260,60124.1,264,56124.9,256
"911",48073,260,61907.3,264,50692.5,256
"912",62318.6,264,63591.7,264,58535.9,256
"913",64526,264,64522.4,264,57156.9,256
"914",59400.5,256,54759.1,256,51230.3,248
"915",59860.4,260,51342.9,260,47164,252
"916",65305.1,260,58060.6,260,54226.4,252
"917",53907.9,260,62076.1,256,54143.9,248
"918",58066.1,260,50433.7,260,39631.4,252
"919",57768.8,264,55622.1,256,52565.8,248
"920",55361.7,264,60383.4,264,52117.1,256
"921",62118.4,260,65265,264,61104.3,256
"922",59104.8,260,63226.3,260,56327.5,252
"923",58483.3,260,60626.9,256,58169.3,248
"924",52716.9,260,59633.6,260,48645.7,252
"925",59831.4,264,58188.2,260,51200.5,252
"926",52235.2,260,56821.1,260,48022.2,252
"927",55328.3,264,64385.4,264,56511,256
"928",63213.2,256,57799.7,264,48440.2,256
"929",67717.6,256,49642.5,260,44716.7,252
"930",55521.6,260,55017.8,264,45769.6,256
"931",51215.9,256,61005.1,264,51340.9,256
"932",53031.7,264,63683,264,57664.2,256
"933",61737.8,260,57072.6,260,49436.3,252
"934",62687.1,260,60299.8,256,53011.6,248
"935",63656.7,260,60169.1,260,57338.6,252
"936",52464.5,260,63595.7,260,56070.2,252
"937",58960.7,256,63148.8,256,57039.8,248
"938",57901.7,260,64239.7,264,56195.6,256
"939",64185.5,264,65140.4,260,56362.5,252
"940",51860.3,260,56378.1,260,48832.3,252
"941",46824.3,260,67398.9,252,58979.1,244
"942",69019.8,260,58615.2,260,52690.3,252
"943",56647.5,256,46203.6,252,41298.9,244
"944",56438.2,260,60164.4,260,53970,252
"945",51027.8,256,56349.3,256,49417.9,248
"946",60051.5,260,61094.6,260,56705.1,252
"947",65581.5,260,61233.6,264,56762.3,256
"948",60425.9,260,58295.2,260,50480.7,252
"949",57490.3,260,52068.6,260,47556.8,252
"950",57570.8,260,55214.3,264,48138.3,256
"951",66407.2,260,62458.7,264,57464.4,256
"952",64753.4,260,61908.8,260,59448.2,252
"953",63157.3,264,62668.2,256,55673.5,248
