"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"220",264445,4684,259444.5,944,163259,64
"221",268017.2,4732,267159.9,956,203492.6,64
"222",275975,4708,253959.8,940,138908,64
"223",291036.3,4728,266495.6,944,174698.4,64
"224",349347.3,4688,333808.1,960,238422.8,64
"225",271134.2,4760,282233.2,944,182353.1,64
"226",354170,4704,325184.6,948,261940.5,64
"227",258406.4,4664,254374.5,940,146702.9,64
"228",272721.7,4664,253375.6,940,146748.8,64
"229",316823,4828,299670.7,936,212989.7,64
"230",281275,4696,255220.2,940,161593.2,64
"231",293427.8,4780,279562.2,956,206912.5,64
"232",271816.8,4804,261585.7,944,158687,64
"233",335272.8,4776,321824.1,948,236624.2,64
"234",345629.9,4820,300025.7,944,199601.6,64
"235",279072.7,4828,252346.9,940,176805.5,64
"236",281400.2,4776,269111.5,944,178702.2,64
"237",281936.2,4700,254870.6,940,161997.2,64
"238",268804,4820,273965,944,167173,64
"239",270903.9,4700,254068.6,944,150008.9,64
"240",275426.4,4672,254174.9,940,142760.7,60
"241",340971.6,4708,307110.6,940,210995.4,64
"242",317550.8,4732,272281.8,940,212031.9,64
"243",313974.2,4808,261116.5,948,190143.2,64
"244",301948.4,4700,254999.2,944,146480.1,64
"245",315059.5,4680,272430.1,948,199520.7,64
"246",276075.5,4724,252788.1,944,139938.6,64
"247",286874.9,4808,254142.6,936,178269.6,64
"248",299371.7,4796,283684.6,932,218546.4,64
"249",263165.2,4744,272530.2,944,173913.8,64
"250",310569.2,4792,309381,952,221406.2,64
"251",326248.7,4828,292761,944,233714.2,60
"252",319203.6,4760,317292.2,952,251727.8,64
"253",270300.6,4748,254537.7,940,133364.3,64
"254",296189.8,4772,252181.3,944,160861.5,64
"255",292797.5,4764,263481.2,936,156978.5,64
"256",282155,4804,271163.4,944,157768,64
"257",331208.5,4732,331849,944,246079.1,64
"258",278593.5,4692,253056.1,944,154141,64
"259",265464.5,4828,254730.3,944,166396.6,64
"260",312121.8,4780,291353.8,944,180799.5,64
"261",283290.4,4740,253782,940,187836.6,64
"262",302949.4,4800,261558.1,944,187282.1,64
"263",300095,4712,273613.4,940,179547.6,64
"264",276298.1,4764,254037.3,944,138992.2,64
"265",318777.1,4704,307851.9,940,204924.8,64
"266",271091.6,4728,263722.3,936,195777.7,64
"267",330241.1,4736,316045.5,952,250855.4,64
"268",276439.1,4744,252737,940,146599,64
"269",278693.7,4808,254782.2,944,147704.6,64
"270",336053.2,4724,317340.2,944,215669,64
"271",274408,4736,254617.3,940,137585.4,64
"272",360911.9,4780,321811.6,944,256433.3,64
"273",284869.2,4748,294635,948,188363.6,64
"274",325885.6,4764,328482.5,948,259046.9,64
"275",274566.1,4740,252348.3,940,164245.2,64
"276",278293.1,4700,258169.1,940,165477.2,64
"277",274937.5,4744,252267.8,944,173404,64
"278",278662.1,4792,268472,944,158021.8,64
"279",338402.2,4776,318302.7,936,231454.5,60
"280",281468.8,4792,269389.4,944,164996.1,64
"281",274122.1,4728,289730.7,940,211092.1,64
"282",356544,4804,342901.7,960,239508.8,64
"283",322239.1,4712,292447.1,940,223056.6,64
"284",282819.4,4788,275887.9,940,192822.6,64
"285",320865.5,4736,304522.5,932,231651.7,64
"286",278729.9,4764,254244.7,936,188084.8,64
"287",273416.4,4752,256099.9,940,183039.7,64
"288",305201.4,4780,285654.9,944,202103.1,64
"289",290649.2,4772,258411.6,940,182095.6,64
"290",323992.7,4756,294214.3,944,193496.5,64
"291",348782.9,4744,302710.8,948,235848.1,64
"292",290521.3,4712,257929.8,944,189354.2,64
"293",364112.3,4688,352005.3,948,232969.6,64
"294",296977.1,4760,289892,964,190532.4,64
"295",359351.5,4696,316213,932,255444.6,64
"296",379504.6,4728,355147.5,944,258444.7,64
"297",272086.1,4780,272135,944,188687.9,64
"298",296709.3,4672,270473.1,940,180236.4,64
"299",290217.3,4784,254499.5,944,141196,64
"300",317501.4,4728,288862.6,956,190453.5,64
"301",323568.1,4776,294521.6,956,210417.2,64
"302",277787.7,4716,252908.9,944,139188.9,64
"303",305546.9,4708,286442,944,198039.7,64
"304",284010.8,4780,260957.1,944,180876.2,64
"305",263240.9,4792,256402.7,944,159111.5,64
"306",314989.4,4732,285233.8,948,221695.7,64
"307",275686.4,4768,266915.3,940,160224.8,64
"308",288717.6,4712,262088.4,940,162340.8,64
"309",280624,4716,256612.4,944,186308.4,64
"310",338603.3,4760,309658.1,952,254685.9,64
"311",349135.6,4760,331685.5,936,274375.2,64
"312",257701.7,4752,263247.9,944,162339.7,64
"313",285143.7,4704,253529.6,940,156194.1,64
"314",269259.6,4680,252303.8,944,143918.4,64
"315",268016.3,4772,254137.5,944,173667.5,64
"316",276650.8,4832,258030.2,944,139885.2,64
"317",332807.1,4768,351551.2,960,238620.5,64
"318",306680.3,4764,287805.3,964,196131.2,64
"319",287815.9,4704,260151.2,936,155071.8,64
"320",342267.5,4748,321108.9,928,249746.9,64
"321",291885.8,4756,259529.5,944,147542.6,64
"322",346629.8,4720,313613.8,940,222002.8,64
"323",277690.5,4764,252318.4,944,183089.6,64
"324",267439.7,4776,254718.4,940,171962.2,64
"325",258255.7,4748,256939.8,944,157848.3,64
"326",285529.6,4784,267273.8,936,176443,64
"327",323495,4712,330378.3,952,268173.9,64
"328",323915.4,4740,325404.2,940,259095.4,64
"329",297729.1,4744,259481.6,944,158796.7,64
"330",331229.8,4772,311896,956,211110.7,64
"331",299097.5,4748,256243.7,940,172481.9,64
"332",339362.3,4736,328055.4,952,251297,64
"333",267856.2,4768,286957.9,940,210150.3,64
"334",333669.5,4772,311127.5,932,215562.4,64
"335",282228.1,4748,255088.9,944,149355.2,64
"336",334259.2,4788,328730.6,948,256978.1,64
"337",343786,4736,306769.5,944,224284.2,64
"338",276198.4,4748,252292.6,944,143827,64
"339",342060.9,4736,323580.1,932,243403.4,64
"340",277049.7,4780,255394.1,944,165535.5,64
"341",282805.8,4804,259476.5,940,149494.2,64
"342",309951.5,4788,281063.8,952,189694,64
"343",315763.2,4680,316512.2,948,253477.7,64
"344",289927.8,4704,252232.9,944,179231.9,64
"345",297559.6,4788,281719.9,948,191557.8,64
"346",294606.5,4844,283624.2,948,219928.9,64
"347",287834.3,4772,307735.5,956,228572.3,64
"348",309684.9,4796,287500.7,948,206046.1,64
"349",267984.4,4780,254216,944,164332.2,64
"350",275431.6,4768,255436.8,944,173141.2,64
"351",300882.4,4840,273860.1,944,161037.7,64
"352",281356.8,4680,258831.7,940,155743.3,64
"353",353593.7,4780,330198,944,249203.2,64
"354",281431.6,4788,271834.1,944,171162.3,64
"355",279851.3,4752,261743.1,944,170547.5,64
"356",288279.7,4780,282761.5,944,201813,64
"357",293238.3,4716,254759.4,944,150638.7,64
"358",352653.2,4704,313602,936,209402.2,64
"359",297502.8,4788,257601.7,936,159888,64
"360",289345.5,4696,261069,944,167429.5,64
"361",305540.5,4704,253029.4,944,173070,64
"362",274014.5,4748,270422.3,944,177254.5,64
"363",288355,4764,257647.7,944,185944.7,64
"364",268996.4,4780,278395.1,932,202678.5,64
"365",294721.9,4756,260634.6,940,160376.5,64
"366",283199.9,4788,253677.2,944,189296.2,64
"367",293589.5,4732,252369.2,944,156860.1,64
"368",271194.1,4800,278728.3,944,178628.1,64
"369",301621.2,4780,293452.5,944,216265,64
"370",340689.9,4768,343988.8,940,240360,64
"371",305199.6,4752,264355.2,940,182300.8,64
"372",303590.9,4728,257704.3,944,177535.4,64
"373",366003,4740,331330.7,948,265686,64
"374",283548.9,4764,275972.8,940,170001.8,64
"375",350907.2,4804,324730.4,948,248703.4,64
"376",285495,4768,254537,944,192366.2,64
"377",312688.8,4728,294241.2,932,222562.3,64
"378",298553.3,4744,309574.6,928,218826.2,64
"379",276116.6,4772,258475.9,940,152589.7,64
"380",325140.5,4732,312462.6,932,234765.2,64
"381",274372.6,4756,257968.2,944,150796,64
"382",269312.2,4780,256363.5,940,167642.7,64
"383",317122.9,4716,298644.7,932,206851.8,64
"384",273467.5,4720,259570.4,944,140437.1,64
"385",368320.5,4732,347808.3,936,237939.2,64
"386",274745.1,4768,270569.6,940,174927.4,64
"387",278988.3,4772,259895.2,940,170473.5,64
"388",297451.4,4748,308629.7,936,220204.3,64
"389",275001.7,4784,260726.7,944,183726.6,64
"390",266546.6,4708,252246,940,146313.9,64
"391",277945.2,4748,260161.5,940,169152.9,64
"392",273571.6,4784,252238.9,940,143036.1,64
"393",268877,4688,281328.7,944,195477.8,64
"394",269162.2,4760,254058.5,944,174679.2,64
"395",332742.2,4672,279807.4,956,201891.9,64
"396",349076.6,4680,323727.7,936,224624.9,64
"397",263939.1,4724,254047,944,156538.3,64
"398",272486.4,4760,252384.7,944,156319.7,64
"399",284159.1,4744,278122.5,944,200936.3,64
"400",282556.8,4736,252334.3,944,155026.7,64
"401",340559.7,4760,317261.8,936,249819,64
"402",352222.4,4676,344389.1,956,238123,64
"403",324502.1,4792,312523.3,948,205193.3,64
"404",316069.1,4792,269171.7,932,197745.6,64
"405",284758.8,4700,253994.5,944,143746.6,64
"406",272386.1,4736,252112.1,944,147729.2,64
"407",318294.8,4748,252790.7,944,138003.3,64
"408",288897.2,4792,255788.2,944,180968.3,64
"409",300642.5,4712,282407.7,960,191888.9,64
"410",273716.2,4696,252577.1,944,148625.9,64
"411",302254.6,4756,310902.4,932,223193.6,64
"412",296613.8,4752,265439.7,944,186220,64
"413",320150.9,4700,307659.4,932,223937.5,64
"414",290595.7,4720,272220.2,944,183980.2,64
"415",309534.1,4768,256888.4,940,176844.8,64
"416",310939.1,4820,257402.6,956,181538.4,64
"417",291366.9,4772,257663.1,944,155047.7,64
"418",302125.7,4716,261043.3,940,178166.7,64
"419",291343,4764,252961.2,944,135000.5,64
"420",280214.6,4748,266156.7,944,153430,64
"421",272710.4,4748,253880.6,944,174516.9,64
"422",279450.3,4688,252128.5,944,163825.5,64
"423",335808.5,4724,320493.8,932,250084.3,64
"424",274468.1,4764,257225.8,944,147989.2,64
